Order ID,Order Date,Customer Name,Region,Category,Sub-Category,Product Name,Department,Quantity,Sales,Discount,Profit,Year
ORD-1001,2024-04-02,Isha Kapoor,North,Technology,Phones,Phones Model 658,Consumer,3.0,1337.52,0.2,291.26,2024
ORD-1002,2024-03-23,Rohan Mehta,East,Furniture,Furnishings,Furnishings Model 833,Consumer,4.0,1242.52,0.0,271.33,2024
ORD-1003,2023-01-14,Arjun Singh,South,Technology,Machines,Machines Model 320,Consumer,3.0,1270.23,0.0,169.4,2023
ORD-1004,2025-01-05,Sneha Iyer,South,Office Supplies,Binders,Binders Model 570,Consumer,6.0,2209.08,0.3,97.47,2025
ORD-1005,2025-01-10,Neha Verma,East,Technology,Phones,Phones Model 333,Corporate,10.0,1274.9,0.0,81.27,2025
ORD-1006,2024-07-23,Unknown Customer,East,Office Supplies,Binders,Binders Model 463,Consumer,8.0,3095.04,0.0,305.78,2024
ORD-1007,2025-12-29,Ananya Gupta,East,Furniture,Bookcases,Bookcases Model 755,Home Office,12.0,1898.52,0.1,279.94,2025
ORD-1008,2024-04-14,Priya Nair,North,Technology,Accessories,Accessories Model 316,Home Office,1.0,485.95,0.1,57.0,2024
ORD-1009,2025-07-28,Rahul Bhat,South,Technology,Copiers,Copiers Model 651,Consumer,3.0,509.85,0.0,139.44,2025
ORD-1010,2024-03-25,Meera Pillai,South,Office Supplies,Labels,Labels Model 981,Corporate,3.0,939.21,0.0,259.91,2024
ORD-1011,2023-05-11,Divya Menon,West,Furniture,Tables,Tables Model 666,Home Office,7.0,1667.75,0.1,313.3,2023
ORD-1012,2023-08-17,Aditya Joshi,North,Furniture,Chairs,Chairs Model 839,Home Office,5.0,1346.7,0.1,61.78,2023
ORD-1013,2024-09-03,Sneha Iyer,West,Technology,Copiers,Copiers Model 880,Home Office,11.0,3431.78,0.0,328.94,2024
ORD-1014,2023-02-09,Pooja Desai,North,Furniture,Chairs,Chairs Model 345,Home Office,2.0,1117.04,0.3,228.35,2023
ORD-1015,2025-09-22,Rohan Mehta,East,Furniture,Tables,Tables Model 231,Home Office,2.0,1174.24,0.15,279.22,2025
ORD-1016,2025-12-16,Arjun Singh,West,Technology,Machines,Machines Model 873,Home Office,10.0,2625.4,0.0,862.9,2025
ORD-1017,2025-02-03,Rahul Bhat,North,Technology,Accessories,Accessories Model 330,Home Office,8.0,4330.16,0.1,336.33,2025
ORD-1018,2023-01-15,Isha Kapoor,West,Furniture,Bookcases,Bookcases Model 132,Consumer,2.0,858.18,0.0,101.85,2023
ORD-1019,2025-09-21,Arjun Singh,West,Office Supplies,Binders,Binders Model 684,Home Office,4.0,1321.8,0.2,349.65,2025
ORD-1020,2024-01-25,Divya Menon,South,Technology,Machines,Machines Model 520,Consumer,2.0,143.4,0.1,20.17,2024
ORD-1021,2025-04-04,Priya Nair,East,Office Supplies,Binders,Binders Model 296,Home Office,12.0,2561.88,0.3,148.45,2025
ORD-1022,2024-07-24,Ananya Gupta,South,Furniture,Furnishings,Furnishings Model 982,Consumer,8.0,1289.12,0.0,235.83,2024
ORD-1023,2024-04-29,Rohan Mehta,East,Technology,Phones,Phones Model 510,Consumer,3.0,758.25,0.1,77.88,2024
ORD-1024,2024-06-27,Rahul Bhat,East,Furniture,Tables,Tables Model 902,Corporate,8.0,1454.96,0.2,392.48,2024
ORD-1025,2024-03-21,Unknown Customer,West,Technology,Machines,Machines Model 421,Consumer,1.0,353.82,0.15,20.54,2024
ORD-1026,2023-04-27,Ananya Gupta,South,Furniture,Chairs,Chairs Model 169,Home Office,9.0,556.83,0.0,39.29,2023
ORD-1027,2023-03-23,Isha Kapoor,East,Technology,Accessories,Accessories Model 635,Corporate,10.0,629.6,0.2,113.38,2023
ORD-1028,2024-06-27,Isha Kapoor,North,Office Supplies,Storage,Storage Model 423,Consumer,7.0,640.92,0.2,71.78,2024
ORD-1029,2024-03-12,Rohan Mehta,East,Furniture,Chairs,Chairs Model 350,Corporate,9.0,1531.26,0.0,481.21,2024
ORD-1030,2025-12-19,Neha Verma,South,Office Supplies,Storage,Storage Model 779,Consumer,1.0,405.7,0.15,48.21,2025
ORD-1031,2023-11-15,Sneha Iyer,East,Furniture,Tables,Tables Model 308,Corporate,5.0,899.15,0.0,238.53,2023
ORD-1032,2023-04-15,Arjun Singh,South,Technology,Copiers,Copiers Model 103,Home Office,2.0,772.12,0.3,71.89,2023
ORD-1033,2025-06-23,Ananya Gupta,North,Office Supplies,Paper,Paper Model 177,Home Office,9.0,3850.38,0.15,173.14,2025
ORD-1034,2023-10-31,Meera Pillai,East,Technology,Accessories,Accessories Model 915,Home Office,7.0,626.92,0.0,99.93,2023
ORD-1035,2024-12-25,Sneha Iyer,West,Furniture,Bookcases,Bookcases Model 867,Consumer,9.0,4789.98,0.1,1475.01,2024
ORD-1036,2023-02-20,Divya Menon,West,Furniture,Tables,Tables Model 521,Consumer,3.0,1337.67,0.0,380.86,2023
ORD-1037,2025-02-22,Sneha Iyer,West,Technology,Accessories,Accessories Model 571,Corporate,1.0,517.28,0.0,56.83,2025
ORD-1038,2024-01-31,Aarav Sharma,West,Office Supplies,Storage,Storage Model 891,Consumer,7.0,1449.21,0.3,71.85,2024
ORD-1039,2023-02-26,Aditya Joshi,South,Office Supplies,Storage,Storage Model 371,Home Office,2.0,1056.14,0.0,109.38,2023
ORD-1040,2024-10-04,Meera Pillai,South,Furniture,Chairs,Chairs Model 690,Home Office,7.0,2587.41,0.15,186.27,2024
ORD-1041,2025-11-30,Aarav Sharma,South,Furniture,Bookcases,Bookcases Model 301,Consumer,9.0,3751.29,0.2,813.61,2025
ORD-1042,2023-09-13,Aditya Joshi,North,Office Supplies,Art,Art Model 518,Consumer,12.0,6498.36,0.15,788.69,2023
ORD-1043,2024-01-28,Vikram Rao,North,Office Supplies,Art,Art Model 278,Home Office,7.0,2827.86,0.1,644.4,2024
ORD-1044,2024-08-10,Neha Verma,East,Technology,Copiers,Copiers Model 429,Corporate,4.0,1065.92,0.15,210.2,2024
ORD-1045,2023-12-14,Pooja Desai,West,Office Supplies,Art,Art Model 734,Corporate,11.0,710.71,0.15,150.52,2023
ORD-1046,2024-02-12,Isha Kapoor,North,Office Supplies,Binders,Binders Model 725,Consumer,3.0,87.87,0.0,30.33,2024
ORD-1047,2025-10-09,Rahul Bhat,West,Furniture,Furnishings,Furnishings Model 868,Corporate,7.0,1104.11,0.2,226.37,2025
ORD-1048,2023-04-13,Sanjay Reddy,West,Furniture,Furnishings,Furnishings Model 236,Consumer,9.0,1447.02,0.3,87.52,2023
ORD-1049,2025-10-30,Unknown Customer,North,Office Supplies,Labels,Labels Model 262,Home Office,7.0,3506.16,0.15,547.69,2025
ORD-1050,2024-07-21,Isha Kapoor,North,Technology,Machines,Machines Model 179,Corporate,9.0,2686.41,0.0,355.62,2024
ORD-1051,2024-10-16,Aditya Joshi,North,Technology,Copiers,Copiers Model 810,Consumer,9.0,559.26,0.0,66.76,2024
ORD-1052,2024-11-08,Divya Menon,South,Furniture,Tables,Tables Model 530,Consumer,9.0,2588.13,0.0,290.0,2024
ORD-1053,2025-09-03,Rahul Bhat,East,Office Supplies,Labels,Labels Model 973,Home Office,1.0,566.5,0.0,156.38,2025
ORD-1054,2024-03-25,Pooja Desai,West,Office Supplies,Labels,Labels Model 784,Home Office,5.0,1349.8,0.0,224.95,2024
ORD-1055,2023-09-19,Sanjay Reddy,West,Technology,Machines,Machines Model 778,Home Office,10.0,3274.6,0.1,670.67,2023
ORD-1056,2025-08-03,Vikram Rao,South,Furniture,Chairs,Chairs Model 565,Home Office,3.0,133.26,0.1,17.77,2025
ORD-1057,2024-05-31,Divya Menon,North,Office Supplies,Storage,Storage Model 458,Corporate,2.0,580.26,0.2,98.33,2024
ORD-1058,2024-05-21,Aarav Sharma,East,Furniture,Chairs,Chairs Model 229,Home Office,4.0,2023.8,0.15,164.65,2024
ORD-1059,2024-06-08,Sanjay Reddy,West,Office Supplies,Binders,Binders Model 835,Home Office,6.0,678.96,0.15,195.71,2024
ORD-1060,2024-09-30,Aarav Sharma,East,Furniture,Tables,Tables Model 832,Corporate,10.0,4112.5,0.1,625.5,2024
ORD-1061,2024-09-09,Sneha Iyer,West,Furniture,Chairs,Chairs Model 679,Home Office,11.0,4028.64,0.0,1163.75,2024
ORD-1062,2023-05-22,Meera Pillai,South,Furniture,Bookcases,Bookcases Model 942,Home Office,9.0,3544.29,0.0,1080.56,2023
ORD-1063,2023-11-10,Sanjay Reddy,North,Office Supplies,Binders,Binders Model 376,Corporate,7.0,826.28,0.15,238.54,2023
ORD-1064,2024-10-22,Unknown Customer,South,Technology,Machines,Machines Model 561,Corporate,4.0,2003.92,0.0,267.88,2024
ORD-1065,2023-02-28,Aditya Joshi,South,Furniture,Furnishings,Furnishings Model 463,Home Office,8.0,4102.48,0.0,805.17,2023
ORD-1066,2025-11-24,Aarav Sharma,North,Office Supplies,Storage,Storage Model 668,Corporate,4.0,260.32,0.2,35.81,2025
ORD-1067,2023-02-05,Sanjay Reddy,South,Furniture,Furnishings,Furnishings Model 413,Home Office,2.0,374.26,0.1,86.75,2023
ORD-1068,2024-11-08,Divya Menon,North,Technology,Copiers,Copiers Model 336,Corporate,6.0,2557.02,0.0,363.06,2024
ORD-1069,2024-01-28,Ananya Gupta,East,Furniture,Tables,Tables Model 878,Corporate,7.0,1788.32,0.0,478.15,2024
ORD-1070,2024-04-10,Neha Verma,West,Technology,Copiers,Copiers Model 229,Consumer,6.0,719.82,0.0,188.88,2024
ORD-1071,2025-10-02,Vikram Rao,North,Office Supplies,Binders,Binders Model 590,Consumer,2.0,1051.08,0.15,120.88,2025
ORD-1072,2025-09-05,Arjun Singh,East,Office Supplies,Storage,Storage Model 690,Consumer,2.0,991.88,0.1,176.33,2025
ORD-1073,2023-06-24,Neha Verma,West,Technology,Phones,Phones Model 710,Consumer,4.0,337.16,0.3,41.27,2023
ORD-1074,2025-06-25,Sanjay Reddy,South,Technology,Accessories,Accessories Model 735,Home Office,5.0,2591.0,0.1,330.23,2025
ORD-1075,2023-06-16,Arjun Singh,West,Furniture,Chairs,Chairs Model 102,Consumer,7.0,465.96,0.15,28.72,2023
ORD-1076,2023-03-08,Neha Verma,South,Office Supplies,Art,Art Model 564,Home Office,4.0,734.16,0.0,191.54,2023
ORD-1077,2023-08-24,Divya Menon,West,Furniture,Tables,Tables Model 946,Corporate,9.0,1318.59,0.0,425.28,2023
ORD-1078,2024-08-14,Neha Verma,West,Furniture,Chairs,Chairs Model 512,Consumer,8.0,702.0,0.2,79.31,2024
ORD-1079,2023-06-14,Sanjay Reddy,South,Office Supplies,Labels,Labels Model 718,Home Office,7.0,383.2,0.1,93.24,2023
ORD-1080,2024-07-05,Aarav Sharma,West,Office Supplies,Binders,Binders Model 631,Consumer,10.0,385.4,0.3,27.67,2024
ORD-1081,2025-10-04,Divya Menon,West,Technology,Machines,Machines Model 786,Corporate,2.0,579.92,0.1,78.29,2025
ORD-1082,2024-08-13,Pooja Desai,South,Furniture,Tables,Tables Model 137,Corporate,11.0,6247.34,0.3,1216.39,2024
ORD-1083,2023-08-26,Aditya Joshi,North,Office Supplies,Binders,Binders Model 773,Corporate,7.0,3646.79,0.3,884.36,2023
ORD-1084,2025-11-27,Karan Malhotra,East,Technology,Machines,Machines Model 878,Corporate,6.0,1454.96,0.1,486.63,2025
ORD-1085,2025-06-16,Neha Verma,West,Furniture,Tables,Tables Model 723,Corporate,12.0,3582.72,0.0,1225.09,2025
ORD-1086,2023-07-10,Divya Menon,East,Furniture,Tables,Tables Model 220,Corporate,4.0,2381.88,0.0,448.83,2023
ORD-1087,2025-04-30,Arjun Singh,North,Technology,Accessories,Accessories Model 248,Corporate,8.0,4707.52,0.0,880.48,2025
ORD-1088,2024-07-19,Rohan Mehta,West,Office Supplies,Paper,Paper Model 940,Home Office,7.0,1496.81,0.3,211.99,2024
ORD-1089,2023-11-01,Pooja Desai,North,Furniture,Bookcases,Bookcases Model 881,Home Office,7.0,2640.56,0.0,395.38,2023
ORD-1090,2024-05-04,Karan Malhotra,North,Technology,Machines,Machines Model 144,Corporate,10.0,2390.4,0.3,472.97,2024
ORD-1091,2023-11-08,Rahul Bhat,South,Office Supplies,Art,Art Model 704,Home Office,8.0,4635.36,0.0,930.26,2023
ORD-1092,2023-02-01,Sanjay Reddy,East,Office Supplies,Binders,Binders Model 258,Corporate,12.0,1191.96,0.3,205.62,2023
ORD-1093,2023-06-14,Rahul Bhat,North,Furniture,Furnishings,Furnishings Model 424,Corporate,6.0,3081.72,0.3,453.2,2023
ORD-1094,2024-04-25,Rohan Mehta,East,Technology,Machines,Machines Model 864,Home Office,11.0,4569.07,0.0,1595.65,2024
ORD-1095,2023-12-07,Sanjay Reddy,East,Furniture,Furnishings,Furnishings Model 915,Consumer,12.0,2282.28,0.0,145.6,2023
ORD-1096,2023-10-26,Divya Menon,North,Furniture,Bookcases,Bookcases Model 284,Corporate,4.0,1302.92,0.15,281.9,2023
ORD-1097,2025-10-16,Isha Kapoor,South,Furniture,Tables,Tables Model 570,Consumer,10.0,987.2,0.1,214.45,2025
ORD-1098,2023-06-01,Ananya Gupta,North,Office Supplies,Binders,Binders Model 534,Corporate,8.0,4543.68,0.15,539.72,2023
ORD-1099,2025-02-26,Karan Malhotra,North,Technology,Copiers,Copiers Model 688,Corporate,8.0,619.12,0.1,123.46,2025
ORD-1100,2023-01-17,Arjun Singh,South,Office Supplies,Storage,Storage Model 150,Consumer,10.0,5210.6,0.3,997.21,2023
ORD-1101,2024-03-24,Meera Pillai,West,Technology,Machines,Machines Model 838,Corporate,11.0,1454.96,0.0,351.76,2024
ORD-1102,2024-09-24,Priya Nair,East,Technology,Accessories,Accessories Model 192,Home Office,8.0,276.16,0.0,74.48,2024
ORD-1103,2024-02-16,Ananya Gupta,South,Office Supplies,Storage,Storage Model 379,Home Office,3.0,1425.33,0.0,298.26,2024
ORD-1104,2023-08-24,Aditya Joshi,North,Furniture,Bookcases,Bookcases Model 331,Corporate,8.0,4626.32,0.0,1278.0,2023
ORD-1105,2025-03-19,Rohan Mehta,North,Technology,Machines,Machines Model 788,Home Office,1.0,169.71,0.0,31.64,2025
