Order ID,Order Date,Customer Name,Region,Category,Sub-Category,Product Name,Department,Quantity,Sales,Discount,Profit
ORD-1166,2025-04-11,Rohan Mehta,East,Technology,Machines,Machines Model 131,Corporate,6,1890.96,0.2,383.98
ORD-1156,2025-11-21,Aarav Sharma,South,Office Supplies,Binders,Binders Model 101,Consumer,10,1565.3,0,215.04
ORD-1064,2024-10-22,,South,Technology,Machines,Machines Model 561,Corporate,4,2003.92,0,267.88
ORD-1136,2025-07-08,Sanjay Reddy,South,Technology,Phones,Phones Model 739,Consumer,11,6111.93,0.15,1261.89
ORD-1176,2024-04-06,Aditya Joshi,West,Furniture,Bookcases,Bookcases Model 966,Consumer,6,3415.68,0.15,924.65
ORD-1090,2024-05-04,Karan Malhotra,North,Technology,Machines,Machines Model 144,Corporate,10,2390.4,0.3,472.97
ORD-1082,2024-08-13,Pooja Desai,South,Furniture,Tables,Tables Model 137,Corporate,11,6247.34,0.3,1216.39
ORD-1067,2023-02-05,Sanjay Reddy,South,Furniture,Furnishings,Furnishings Model 413,Home Office,2,374.26,0.1,86.75
ORD-1059,2024-06-08,Sanjay Reddy,West,Office Supplies,Binders,Binders Model 835,Home Office,6,678.96,0.15,195.71
ORD-1062,2023-05-22,Meera Pillai,South,Furniture,Bookcases,Bookcases Model 942,Home Office,9,3544.29,0,1080.56
ORD-1006,2024-07-23,,East,Office Supplies,Binders,Binders Model 463,Consumer,8,3095.04,0,305.78
ORD-1002,2024-03-23,Rohan Mehta,East,Furniture,Furnishings,Furnishings Model 833,Consumer,4,1242.52,0,271.33
ORD-1081,2025-10-04,Divya Menon,West,Technology,Machines,Machines Model 786,Corporate,2,579.92,0.1,78.29
ORD-1046,2024-02-12,Isha Kapoor,North,Office Supplies,Binders,Binders Model 725,Consumer,3,87.87,0,30.33
ORD-1001,2024-04-02,Isha Kapoor,North,Technology,Phones,Phones Model 658,Consumer,3,1337.52,0.2,291.26
ORD-1058,2024-05-21,Aarav Sharma,East,Furniture,Chairs,Chairs Model 229,Home Office,4,2023.8,0.15,164.65
ORD-1147,2025-02-10,Vikram Rao,North,Technology,Phones,Phones Model 739,Home Office,3,329.73,0.3,59.52
ORD-1055,2023-09-19,Sanjay Reddy,West,Technology,Machines,Machines Model 778,Home Office,10,3274.6,0.1,670.67
ORD-1113,2024-05-28,Vikram Rao,West,Furniture,Chairs,Chairs Model 115,Corporate,3,237.93,0.3,9.62
ORD-1083,2023-08-26,Aditya Joshi,North,Office Supplies,Binders,Binders Model 773,Corporate,7,3646.79,0.3,884.36
ORD-1029,2024-03-12,Rohan Mehta,East,Furniture,Chairs,Chairs Model 350,Corporate,9,1531.26,0,481.21
